x_cor,y_cor,number,frontX,frontY,corners1,corners2,corners3,corners4,corners5,corners6,corners7,corners8,order1,order2,order3,order4,frame,abdx_cor,adby_cor,distance1,distance2,distance3,headx_cor,heady_cor,distance4,distance5,distance6
3210.936137,2252.364486,2811,3202.440566,2242.026469,2251.864357,3190.319419,2274.412861,3209.645453,2255.177657,3232.463911,2232.188581,3214.561713,1,4,3,2,2138,3168.5,2206.318182,62.61859034,49.26503635,80.48993896,3247.045455,2280.5,45.7765219,58.90508171,29.22058255
2524.865635,1491.606678,2836,2532.878474,1474.440855,1467.248779,2514.28743,1502.21723,2500.319718,1518.999249,2535.764782,1481.632932,2551.469518,4,1,2,3,2138,2561.954545,1429.590909,72.26024356,53.45030996,93.16520234,2500.863636,1521.227273,38.12447517,56.69143369,34.97219013
3524.266442,2553.86425,2843,3519.119528,2572.77977,2530.871186,3513.390388,2567.510743,3501.5603,2578.048798,3536.678755,2541.541456,3547.123797,2,3,4,1,2138,3569.954545,2520.5,56.57363311,72.92032252,57.50709042,3504.5,2581.590909,34.0511361,17.06946839,51.49300202
2185.448931,2809.24228,2869,2192.596194,2793.484756,2786.141244,2174.28503,2819.971743,2160.970144,2836.112972,2195.626184,2800.828268,2210.907359,1,4,2,3,2138,2221.590909,2756.136364,64.23769108,47.2820884,84.08581827,2151.772727,2834.681818,42.20493803,57.99787417,43.87680297
3474.129285,2036.864838,2903,3463.36475,2049.368049,2012.298657,3473.671657,2036.079723,3450.260299,2062.656375,3476.469201,2038.383203,3498.997075,3,2,4,1,2138,3508.863636,1966.318182,78.63399976,94.69651065,57.90232752,3439.045455,2057.954545,40.93471515,25.79061956,57.30125675
3586.208781,2131.865591,2905,3596.70879,2118.84242,2108.984503,3581.521553,2137.408611,3561.627348,2156.93955,3590.678024,2128.700338,3611.896026,1,4,3,2,2138,3539.409091,2188.863636,73.74949597,90.47776619,60.3957844,3617.954545,2101.590909,43.86741304,27.36780553,61.70478669
2962.683532,3059.738095,2934,2975.572535,3073.864449,3059.803935,2938.509875,3085.922925,2962.845765,3061.805972,2988.299306,3035.001023,2964.463196,2,3,1,4,2138,3020.136364,3017.954545,71.04007971,71.49721714,91.72924874,2945.954545,3087.772727,32.64658597,32.72102603,28.94264135
2101.990489,1523.955163,2964,2093.398007,1516.510465,1530.435677,2082.025907,1545.712379,2102.759472,1517.96577,2124.740336,1502.585253,2104.770107,1,4,2,3,2138,2081.954545,1577.954545,57.5966348,62.50062266,73.68362757,2147.409091,1495.045455,53.83883945,58.12008173,32.23683215
2909.33967,1770.96071,2975,2903.109425,1782.299675,1745.605051,2907.03644,1769.723248,2891.297832,1794.876101,2914.921017,1769.876869,2928.260534,3,2,4,1,2138,2972.136364,1804.863636,71.36408834,72.62128253,88.03169832,2876.136364,1730.681818,52.20008325,58.24044225,34.31497671
3289.592184,2718.564128,2996,3301.213507,2733.052683,2716.794979,3264.853758,2743.797707,3287.017329,2722.307659,3315.409686,2695.036184,3292.274844,2,3,4,1,2138,3329.954545,2655.772727,74.64502817,82.45143323,89.22907498,3268.863636,2743.045455,32.07815517,33.85808069,26.55497257
