ExperimentID,modul_bet,modul_bet_num,modul_cwt,modul_cwt_num,dens,n_node,Date,FoodType,Treatment,GroupSize.1,Year,Group.ID
Networks-1-18-1,0.000779684,3,0.056025841,2,0.736263736,14,1/18/2022,P,T,16,2021,3
Networks-1-21-1,0.245152355,3,0.228531856,3,0.208791209,14,1/21/2022,P,T,15,2021,3
Networks-1-26-1,0.505,4,0.515,4,0.181818182,11,1/26/2022,P,T,15,2021,4
Networks-10-26-1,0.136464497,6,0.164755917,4,0.339869281,18,10/26/2021,C,B,18,2020,1
Networks-10-28-1,0.028653047,5,0.053930055,2,0.558823529,17,10/28/2021,C,T,18,2020,1
Networks-11-1-1,0.058195153,7,0.146205357,3,0.411764706,17,11/1/2021,C,B,17,2020,1
Networks-11-12-1,0,1,0.091111111,2,0.571428571,15,11/12/2021,C,T,16,2020,1
Networks-11-16-1,0.002893519,6,0.032310957,2,0.685714286,15,11/16/2021,C,T,16,2020,1
Networks-11-19-1,0.029603998,5,0.078239139,3,0.56043956,14,11/19/2021,C,B,16,2020,1
Networks-11-22-1,0.189274172,6,0.243514717,5,0.263546798,29,11/22/2021,C,B,30,2020,2
Networks-11-30-1,0.005408282,15,0.06092671,4,0.495073892,29,11/30/2021,C,B,29,2020,3
Networks-11-6-1,0.061507937,8,0.142573696,2,0.4,15,11/6/2021,C,T,17,2020,1
Networks-11-8-1,0.090192044,8,0.185185185,3,0.397058824,17,11/8/2021,C,B,19,2020,1
Networks-12-27-1,0.035741503,19,0.210257583,2,0.27,25,12/27/2021,C,T,27,2021,3
Networks-12-31-1,0.072483459,12,0.184841682,3,0.283076923,26,12/31/2021,C,T,27,2021,3
Networks-12-5-1,0.007318446,10,0.068305498,2,0.579365079,28,12/5/2021,C,B,28,2021,3
Networks-12-9-1,0.017936508,10,0.035498866,6,0.555555556,28,12/9/2021,C,T,28,2021,3
Networks-2-23-1,0.15048675,10,0.137844781,3,0.264615385,26,2/23/2022,P,T,26,2021,5
Networks-2-8-1,0.013265458,19,0.063689061,7,0.356923077,26,2/8/2022,P,T,27,2021,6
Networks-2-9-1,0,1,0.039916992,2,0.554112554,22,2/9/2022,P,T,26,2021,7
Networks-3-4-1,0.156738281,5,0.260253906,3,0.351648352,14,3/4/2022,P,B,15,2021,5
Networks-4-25-1,0.233727811,2,0.233727811,2,0.288888889,10,4/25/2022,P,B,12,2021,8
Networks-5-27-1,0.520408163,3,0.520408163,3,0.194444444,9,5/27/2022,C,T,13,2021,9
Networks-5-31-1,0.423076923,3,0.423076923,3,0.166666667,13,5/31/2022,C,T,15,2021,10
Networks-6-1-1,0.13945039,10,0.190579997,3,0.267692308,26,6/1/2022,C,T,28,2021,11
Networks-6-1-2,0.190926276,4,0.145557656,3,0.348484848,12,6/1/2022,C,T,15,2021,12
Networks-6-13-1,0.155188246,6,0.162075298,3,0.314285714,15,6/13/2022,P,T,17,2021,13
Networks-6-13-2,0.161406969,4,0.151545036,4,0.428571429,14,6/13/2022,P,T,17,2021,14
Networks-6-14-1,0.019236688,5,0.148968914,2,0.475,16,6/14/2022,P,T,16,2021,15
Networks-6-14-2,0.032736808,15,0.102481618,6,0.35978836,28,6/14/2022,P,T,28,2021,16
Networks-6-17-1,0.015275849,9,0.085405883,4,0.385281385,22,6/17/2022,P,T,27,2021,17
Networks-6-2-1,0.072231834,15,0.194684737,6,0.290598291,27,6/2/2022,C,T,28,2021,18
Networks-6-21-1,0.058024393,8,0.108863664,4,0.329710145,24,6/21/2022,P,T,27,2021,19
Networks-6-21-2,0.220679012,2,0.208333333,2,0.4,10,6/21/2022,P,B,16,2021,20
Networks-6-21-3,0.0144,3,0.0328,2,0.549450549,14,6/21/2022,P,B,16,2021,19
Networks-6-22-1,0.201171875,2,0.201171875,2,0.355555556,10,6/22/2022,P,B,16,2021,21
Networks-6-22-2,0.299328512,4,0.287964876,4,0.287581699,18,6/22/2022,P,B,27,2021,19
Networks-6-24-1,0.026605232,8,0.064209275,5,0.483333333,16,6/24/2022,P,B,27,2021,19
Networks-6-24-2,0.019387919,6,0.054157988,5,0.415789474,20,6/24/2022,P,B,28,2021,20
Networks-6-3-1,0.248977778,6,0.236711111,4,0.25,25,6/3/2022,C,T,27,2021,21
Networks-6-6-1,0.031899811,2,0.111294896,3,0.438095238,15,6/6/2022,C,B,17,2021,22
Networks-6-6-2,0.145447531,4,0.15625,4,0.3,16,6/6/2022,C,B,16,2021,23
Networks-6-7-1,0.103806228,5,0.129757785,3,0.309090909,11,6/7/2022,C,B,15,2021,24
Networks-6-7-2,0.130408329,7,0.193820984,4,0.339920949,23,6/7/2022,C,B,27,2021,25
Networks-6-8-1,0.213452728,6,0.215326947,7,0.212121212,22,6/8/2022,C,B,26,2021,26
Networks-6-9-1,0.082529844,13,0.118227732,8,0.260869565,23,6/9/2022,C,B,27,2021,27
