IndividualID,IndividualDegree,IndividualBetweenness,ColonyID,Date,FoodType,Treatment,GroupSize,ConditionCompiled,NumberWorkers,Group ID,
77,8,17.41904762,Networks-10-26-1,26-Oct-21,C,B,S,CBS,18,1,
142,1,0,Networks-10-26-1,26-Oct-21,C,B,S,CBS,18,1,
171,6,5.69047619,Networks-10-26-1,26-Oct-21,C,B,S,CBS,18,1,
235,6,15.92380952,Networks-10-26-1,26-Oct-21,C,B,S,CBS,18,1,
367,7,20.0952381,Networks-10-26-1,26-Oct-21,C,B,S,CBS,18,1,
386,6,34.91666667,Networks-10-26-1,26-Oct-21,C,B,S,CBS,18,1,
392,1,0,Networks-10-26-1,26-Oct-21,C,B,S,CBS,18,1,
2654,8,10.6452381,Networks-10-26-1,26-Oct-21,C,B,S,CBS,18,1,
2687,8,22.92380952,Networks-10-26-1,26-Oct-21,C,B,S,CBS,18,1,
2769,5,4.166666667,Networks-10-26-1,26-Oct-21,C,B,S,CBS,18,1,
2778,5,7.528571429,Networks-10-26-1,26-Oct-21,C,B,S,CBS,18,1,
3532,5,1.583333333,Networks-10-26-1,26-Oct-21,C,B,S,CBS,18,1,
3559,4,3.35,Networks-10-26-1,26-Oct-21,C,B,S,CBS,18,1,
3562,7,6.007142857,Networks-10-26-1,26-Oct-21,C,B,S,CBS,18,1,
3602,4,0.25,Networks-10-26-1,26-Oct-21,C,B,S,CBS,18,1,
3607,2,0,Networks-10-26-1,26-Oct-21,C,B,S,CBS,18,1,
3613,3,0.5,Networks-10-26-1,26-Oct-21,C,B,S,CBS,18,1,
3635,2,16,Networks-10-26-1,26-Oct-21,C,B,S,CBS,18,1,
77,10,1.453571429,Networks-10-28-1,28-Oct-21,C,T,S,CTS,18,1,
171,8,2.11468254,Networks-10-28-1,28-Oct-21,C,T,S,CTS,18,1,
235,10,2.133730159,Networks-10-28-1,28-Oct-21,C,T,S,CTS,18,1,
367,12,3.064285714,Networks-10-28-1,28-Oct-21,C,T,S,CTS,18,1,
386,12,4.848015873,Networks-10-28-1,28-Oct-21,C,T,S,CTS,18,1,
392,5,0.652380952,Networks-10-28-1,28-Oct-21,C,T,S,CTS,18,1,
2654,12,3.913095238,Networks-10-28-1,28-Oct-21,C,T,S,CTS,18,1,
2687,14,7.953968254,Networks-10-28-1,28-Oct-21,C,T,S,CTS,18,1,
2769,9,0.632936508,Networks-10-28-1,28-Oct-21,C,T,S,CTS,18,1,
2778,12,4.045238095,Networks-10-28-1,28-Oct-21,C,T,S,CTS,18,1,
3532,9,0.957936508,Networks-10-28-1,28-Oct-21,C,T,S,CTS,18,1,
3559,9,1.192460317,Networks-10-28-1,28-Oct-21,C,T,S,CTS,18,1,
3562,7,0.807539683,Networks-10-28-1,28-Oct-21,C,T,S,CTS,18,1,
3602,14,5.045634921,Networks-10-28-1,28-Oct-21,C,T,S,CTS,18,1,
3607,9,3.385714286,Networks-10-28-1,28-Oct-21,C,T,S,CTS,18,1,
3613,12,3.494444444,Networks-10-28-1,28-Oct-21,C,T,S,CTS,18,1,
