IndividualID,IndividualDegree,IndividualBetweenness,SumDistance,ExperimentID,ColonyID,NumberWorkers
3433,9,0.696428571,15759.72065,Networks-1-18-1,3,16
357,7,0.385714286,10565.38533,Networks-1-18-1,3,16
3360,10,1.169047619,150364.7094,Networks-1-18-1,3,16
3303,9,0.701190476,13765.78333,Networks-1-18-1,3,16
3306,12,4.032142857,293683.5822,Networks-1-18-1,3,16
3562,12,2.857142857,25916.31124,Networks-1-18-1,3,16
3333,10,1.710714286,34181.7066,Networks-1-18-1,3,16
3471,6,0.40952381,28868.66718,Networks-1-18-1,3,16
3503,10,1.877380952,24753.64211,Networks-1-18-1,3,16
18,7,0.658333333,54487.47665,Networks-1-18-1,3,16
77,8,0.73452381,17050.21568,Networks-1-18-1,3,16
33,10,2.522619048,18671.69931,Networks-1-18-1,3,16
3268,12,3.080952381,152540.0676,Networks-1-18-1,3,16
3522,12,3.164285714,185329.1275,Networks-1-18-1,3,16
33,7,30.33333333,28228.44623,Networks-1-21-1,3,15
3471,1,0,30262.4446,Networks-1-21-1,3,15
3523,2,0,53312.56729,Networks-1-21-1,3,15
3303,5,26.83333333,28751.8129,Networks-1-21-1,3,15
357,2,3,19804.56952,Networks-1-21-1,3,15
18,1,0,64352.70217,Networks-1-21-1,3,15
3430,1,0,20441.67215,Networks-1-21-1,3,15
3235,2,0,545.0813826,Networks-1-21-1,3,15
3338,2,0,54857.89001,Networks-1-21-1,3,15
3503,6,30.16666667,77643.5929,Networks-1-21-1,3,15
3488,5,13.66666667,26025.68471,Networks-1-21-1,3,15
768,2,12,65492.60678,Networks-1-21-1,3,15
77,1,0,8076.682934,Networks-1-21-1,3,15
3333,1,0,66104.02342,Networks-1-21-1,3,15
3523,3,12,6233.993129,Networks-1-26-1,4,15
18,2,7,1893.904369,Networks-1-26-1,4,15
77,2,0,1914.951924,Networks-1-26-1,4,15
3488,2,15,21583.03387,Networks-1-26-1,4,15
33,1,0,3741.373219,Networks-1-26-1,4,15
3471,2,16,2497.279135,Networks-1-26-1,4,15
3335,2,0,7102.448506,Networks-1-26-1,4,15
3242,1,0,4788.153228,Networks-1-26-1,4,15
3562,2,12,2793.256326,Networks-1-26-1,4,15
3374,1,0,4546.434437,Networks-1-26-1,4,15
3245,2,15,45517.61976,Networks-1-26-1,4,15
2903,11,7.811297852,42690.27821,Networks-2-8-1,6,27
2843,7,0.994047619,31921.13016,Networks-2-8-1,6,27
2836,7,2.853361345,28101.67131,Networks-2-8-1,6,27
3063,7,11.36883754,3489.259345,Networks-2-8-1,6,27
2996,12,15.45086368,61178.99062,Networks-2-8-1,6,27
2869,11,9.65961718,104061.0421,Networks-2-8-1,6,27
2905,10,9.620518207,243737.3955,Networks-2-8-1,6,27
3036,14,14.75456349,148575.456,Networks-2-8-1,6,27
3059,8,1.669047619,116572.7518,Networks-2-8-1,6,27
3112,8,15.20515873,62365.93141,Networks-2-8-1,6,27
3033,13,16.90075864,161582.8002,Networks-2-8-1,6,27
3079,16,26.78385854,259090.1862,Networks-2-8-1,6,27
3117,11,7.451937442,227060.9857,Networks-2-8-1,6,27
2975,9,4.791059757,52239.90282,Networks-2-8-1,6,27
2964,15,27.78338002,149738.4883,Networks-2-8-1,6,27
3107,3,0,39383.82995,Networks-2-8-1,6,27
2934,5,0.385714286,34356.96743,Networks-2-8-1,6,27
2811,5,1.467647059,246489.1209,Networks-2-8-1,6,27
3095,5,0.658333333,33703.32821,Networks-2-8-1,6,27
3085,6,1.252777778,34862.25354,Networks-2-8-1,6,27
3179,10,11.74870448,113975.2894,Networks-2-8-1,6,27
3174,7,3.595599907,224514.3672,Networks-2-8-1,6,27
3136,16,27.34729225,401243.3649,Networks-2-8-1,6,27
3202,8,4.043242297,58983.00962,Networks-2-8-1,6,27
3242,6,1.902380952,22728.71093,Networks-2-8-1,6,27
3037,2,0.5,160845.3815,Networks-2-8-1,6,27
2960,10,1.779502442,43168.02373,Networks-2-9-1,7,26
3106,14,5.237475025,36465.0454,Networks-2-9-1,7,26
3182,9,1.49478022,33044.18117,Networks-2-9-1,7,26
3032,13,3.718589744,71006.95284,Networks-2-9-1,7,26
3335,11,2.221602009,28091.60648,Networks-2-9-1,7,26
2905,7,0.80291514,22589.92342,Networks-2-9-1,7,26
2869,14,6.199542125,208971.3654,Networks-2-9-1,7,26
3140,9,1.536742424,34964.96335,Networks-2-9-1,7,26
2961,12,3.844678932,48668.17527,Networks-2-9-1,7,26
3036,15,6.7129329,119134.2634,Networks-2-9-1,7,26
3179,16,13.09960317,307406.2306,Networks-2-9-1,7,26
3033,14,5.551363914,94609.31751,Networks-2-9-1,7,26
2874,6,0.606089744,53962.82177,Networks-2-9-1,7,26
